index,u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque
0,-0.450681508,18.80517197,19.08666992,-0.350054592,18.29321861,0.002865568,0.004419137,0.000328102,24.55421448,18.31654739,19.85069084,0.187100798
1,-0.325737,18.81857109,19.09239006,-0.305803001,18.29480743,0.000256782,0.000605872,-0.000785353,24.53807831,18.31495476,19.85067177,0.245417491
2,-0.440864027,18.82876968,19.08938026,-0.372502625,18.29409409,0.002354971,0.001289587,0.000386468,24.54469299,18.3263073,19.85065651,0.176615342
3,-0.327025682,18.83556747,19.0830307,-0.316198707,18.2925415,0.006104666,2.56E-05,0.002045661,24.55401802,18.33083344,19.85064697,0.238302708
4,-0.47115013,18.85703278,19.08252525,-0.332272142,18.29142761,0.003132823,-0.064316779,0.037183776,24.56539726,18.32666206,19.85063934,0.208196655
5,-0.538972616,18.90154839,19.07710838,0.009147473,18.29062843,0.009636124,-0.613635242,0.336747348,24.57360077,18.32386208,19.85063362,0.476217836
6,-0.653148472,18.94171143,19.07458305,0.238889694,18.29252434,0.001337012,-1.005647302,0.554211259,24.57657814,18.32193565,19.85062981,0.670015335
7,-0.758391559,18.96086121,19.08249855,0.395099252,18.29404068,0.001421958,-1.288383722,0.706369996,24.57494926,18.3146553,19.8506279,0.752035499
8,-0.727128446,18.97354507,19.08553314,0.546622515,18.29196358,0.000576553,-1.490530491,0.81733948,24.56707954,18.30692482,19.85062599,0.910541415
9,-0.874307454,18.98781204,19.07602501,0.578943968,18.28723335,-0.00124788,-1.634463549,0.898012877,24.55324173,18.30173302,19.85062408,0.9240098
10,-0.766983986,18.9987011,19.07805443,0.689281404,18.28650284,0.001852675,-1.739207864,0.952029526,24.53422928,18.30541611,19.85062218,1.033538103
11,-0.891274869,19.00430298,19.08316231,0.680499315,18.28929901,-0.004142461,-1.812125683,0.995459974,24.5189209,18.30359268,19.87695885,1.031784534
12,-0.84374392,18.99006081,19.08957481,0.732882917,18.2870636,0.003363267,-1.866989851,1.022930622,24.50837708,18.31222153,19.90296555,1.080854416
